date,hour_kst,pageviews,visits
2026-09-24,00,1,1
2026-09-24,02,1,1
2026-09-24,05,1,1
2026-09-24,07,1,1
2026-09-24,08,1,1
2026-09-24,09,1,1
2026-09-24,12,2,2
2026-09-24,15,4,4
2026-09-24,16,4,4
2026-09-24,18,1,1
2026-09-24,19,1,1
2026-09-24,20,2,2
2026-09-24,22,3,3
2026-09-24,23,5,5
