date,hour_kst,pageviews,visits
2026-09-18,00,3,3
2026-09-18,01,1,1
2026-09-18,10,6,6
2026-09-18,11,1,1
2026-09-18,12,2,2
2026-09-18,13,1,1
2026-09-18,14,7,7
2026-09-18,15,2,2
2026-09-18,16,2,2
2026-09-18,17,1,1
2026-09-18,18,2,2
2026-09-18,19,1,1
2026-09-18,22,1,1
2026-09-18,23,3,3
