date,hour_kst,pageviews,visits
2026-09-21,01,3,3
2026-09-21,03,1,1
2026-09-21,06,1,1
2026-09-21,07,1,1
2026-09-21,09,2,2
2026-09-21,10,3,3
2026-09-21,11,6,6
2026-09-21,12,1,1
2026-09-21,13,3,3
2026-09-21,14,1,1
2026-09-21,15,2,2
2026-09-21,16,2,2
2026-09-21,17,1,1
2026-09-21,18,3,3
2026-09-21,19,2,2
2026-09-21,20,3,3
2026-09-21,22,2,2
2026-09-21,23,2,2
