date,hour_kst,pageviews,visits
2026-09-26,00,1,1
2026-09-26,03,1,1
2026-09-26,08,1,1
2026-09-26,09,4,4
2026-09-26,10,1,1
2026-09-26,11,1,1
2026-09-26,12,1,1
2026-09-26,13,1,1
2026-09-26,14,2,2
2026-09-26,15,1,1
2026-09-26,17,1,1
2026-09-26,18,1,1
2026-09-26,19,1,1
2026-09-26,20,1,1
2026-09-26,23,3,3
