date,hour_kst,pageviews,visits
2026-09-25,00,1,1
2026-09-25,01,1,1
2026-09-25,03,1,1
2026-09-25,08,2,2
2026-09-25,09,4,4
2026-09-25,10,1,1
2026-09-25,11,1,1
2026-09-25,12,2,2
2026-09-25,13,1,1
2026-09-25,15,7,7
2026-09-25,16,3,3
2026-09-25,17,3,3
2026-09-25,18,2,2
2026-09-25,19,1,1
2026-09-25,20,1,1
2026-09-25,21,3,3
2026-09-25,22,1,1
2026-09-25,23,1,1
