date,hour_kst,pageviews,visits
2026-09-23,01,1,1
2026-09-23,02,1,1
2026-09-23,04,1,1
2026-09-23,05,1,1
2026-09-23,07,2,2
2026-09-23,09,2,2
2026-09-23,10,3,3
2026-09-23,11,7,7
2026-09-23,12,4,4
2026-09-23,13,3,3
2026-09-23,14,2,2
2026-09-23,15,3,3
2026-09-23,16,3,3
2026-09-23,17,2,2
2026-09-23,18,6,6
2026-09-23,20,1,1
2026-09-23,21,4,4
2026-09-23,22,1,1
